GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
271310050,787.2,333.0,384.8,632.1,285.2,294.4,641.9,371.9,235.1,636.3,330.5,268.4,1224,655,541
271310130,578.0,160.0,374.0,476.0,138.0,310.0,478.0,201.0,262.0,479.0,165.0,302.0,573,258,294
271310045,1287.1,536.1,654.3,1057.8,476.5,513.0,1069.1,612.2,419.4,1067.1,534.1,487.3,1519,810,681
271310145,957.0,272.0,615.0,757.0,230.0,482.0,770.0,356.0,379.0,769.0,272.0,459.0,937,431,487
271310055,809.0,228.0,528.0,681.0,219.0,426.0,690.0,336.0,335.0,690.0,261.0,404.0,718,272,428
271310140,1152.8,347.8,723.4,993.5,327.9,622.8,1008.5,459.4,525.2,1002.5,369.7,608.9,1110,423,664
271310060,2033.9,465.3,1376.2,1627.1,461.2,1067.8,1650.2,640.8,939.3,1645.1,539.4,1032.7,1692,640,1018
271310150,749.3,153.9,551.4,626.3,145.9,454.4,638.3,220.8,403.5,637.3,173.9,446.4,715,258,433
271310065,502.9,116.5,358.5,436.2,133.5,266.9,441.2,185.2,225.1,443.2,155.4,254.0,486,214,256
271310070,389.1,56.5,301.5,337.8,72.5,250.1,342.8,125.8,210.9,342.8,91.6,240.0,386,123,253
271310075,147.0,41.0,82.0,145.0,58.0,77.0,150.0,74.0,60.0,151.0,62.0,77.0,159,72,84
271310085,1709.5,1358.0,252.5,1670.2,1335.3,274.5,1707.3,1457.3,213.2,1686.2,1393.5,256.7,1794,1432,337
271310080,789.0,545.3,176.7,725.7,518.6,169.1,736.6,582.8,129.9,731.3,549.2,154.6,534,425,95
271310090,1353.0,867.9,384.3,1249.5,807.6,362.1,1271.0,963.9,275.2,1262.2,878.7,341.5,1246,880,354
271310095,2032.0,1244.9,640.3,1917.1,1174.3,629.4,1952.3,1438.8,472.5,1937.1,1297.0,580.5,1933,1217,695
271310114,1520.2,794.0,584.9,1365.7,737.7,535.8,1392.8,903.1,433.6,1386.8,840.9,497.8,1299,774,505
271310110,762.9,496.4,195.4,696.6,471.4,187.7,705.7,538.7,142.6,701.4,504.1,167.6,957,627,321
271310113,963.3,679.1,205.6,864.3,623.9,188.0,880.3,703.1,146.4,875.5,662.6,180.3,1194,918,252
271310105,990.2,813.7,102.3,837.2,690.6,91.4,877.1,759.4,67.9,878.9,750.3,84.2,1332,1034,267
271310120,224.0,62.0,145.0,183.0,61.0,106.0,185.0,101.0,82.0,185.0,82.0,95.0,196,80,113
271310125,647.0,157.0,439.0,566.0,160.0,371.0,572.0,257.0,299.0,570.0,189.0,353.0,684,308,358
271310135,787.0,178.0,551.0,677.0,179.0,465.0,683.0,276.0,385.0,685.0,215.0,450.0,794,292,478
271310155,340.0,111.0,207.0,299.0,113.0,179.0,302.0,143.0,155.0,301.0,112.0,185.0,306,134,163
271330005,93.0,14.0,74.0,75.0,15.0,58.0,76.0,21.0,53.0,76.0,21.0,52.0,93,22,68
271330010,144.0,30.0,93.0,110.0,32.0,76.0,115.0,36.0,75.0,115.0,39.0,75.0,159,62,90
271330015,208.0,45.0,151.0,166.0,49.0,113.0,169.0,55.0,111.0,167.0,52.0,112.0,216,71,135
271330020,147.0,30.0,114.0,109.0,16.0,93.0,111.0,20.0,91.0,111.0,19.0,92.0,133,32,99
271330025,83.0,19.0,55.0,62.0,15.0,46.0,64.0,22.0,41.0,64.0,20.0,43.0,85,36,47
271330030,78.0,27.0,35.0,61.0,28.0,31.0,64.0,36.0,26.0,65.0,33.0,31.0,97,52,38
271330035,338.0,60.0,261.0,226.0,44.0,172.0,227.0,55.0,168.0,227.0,48.0,172.0,368,113,245
271330090,225.0,26.0,183.0,191.0,30.0,153.0,194.0,40.0,150.0,194.0,35.0,154.0,201,47,153
271330040,22.0,12.0,8.0,20.0,9.0,11.0,20.0,9.0,11.0,20.0,9.0,11.0,20,14,6
271330045,111.0,24.0,85.0,89.0,28.0,60.0,93.0,31.0,62.0,94.0,32.0,62.0,109,47,60
271330050,28.0,5.0,19.0,23.0,10.0,12.0,24.0,13.0,10.0,24.0,11.0,11.0,32,12,20
271330055,1079.6,410.0,572.5,856.8,350.6,467.5,869.6,425.9,418.0,866.7,405.1,439.8,1056,516,519
271330060,316.4,101.9,191.5,241.2,84.4,146.5,242.4,105.1,130.0,242.3,98.9,137.2,325,150,171
271330065,663.0,229.0,378.0,495.0,184.0,284.0,500.0,201.0,268.0,499.0,201.0,276.0,736,372,345
271330070,309.0,114.0,181.0,236.0,82.0,147.0,242.0,110.0,127.0,241.0,99.0,139.0,322,133,178
271330075,174.3,29.1,132.1,143.6,36.6,104.7,147.9,49.2,98.7,147.9,44.7,102.7,180,58,118
271330077,104.8,24.9,68.9,86.4,26.4,59.3,90.1,30.8,59.3,90.1,29.3,59.3,106,39,66
271330080,70.0,17.0,46.0,44.0,15.0,27.0,50.0,17.0,30.0,49.0,15.0,31.0,79,36,42
271330085,126.0,36.0,82.0,97.0,31.0,64.0,100.0,40.0,58.0,101.0,42.0,57.0,124,56,67
271330095,116.0,35.0,70.0,99.0,45.0,53.0,100.0,52.0,47.0,100.0,49.0,51.0,137,57,76
271330100,94.0,17.0,74.0,63.0,8.0,52.0,63.0,19.0,43.0,63.0,16.0,46.0,106,44,59
271330105,131.0,27.0,93.0,93.0,26.0,62.0,96.0,33.0,62.0,96.0,34.0,62.0,126,47,77
271330110,77.0,12.0,58.0,35.0,2.0,32.0,35.0,4.0,31.0,35.0,5.0,30.0,77,20,53
271330115,101.0,28.0,66.0,76.0,25.0,48.0,77.0,27.0,47.0,77.0,32.0,42.0,88,43,43
271350005,208.0,46.0,145.0,175.0,52.0,113.0,178.0,68.0,96.0,176.0,54.0,115.0,180,84,94
271350010,72.0,21.0,43.0,65.0,20.0,42.0,67.0,27.0,40.0,66.0,17.0,47.0,76,29,43
271350015,87.0,22.0,55.0,80.0,33.0,42.0,82.0,48.0,30.0,82.0,29.0,47.0,84,43,37
271350020,50.0,16.0,30.0,45.0,16.0,28.0,45.0,17.0,27.0,45.0,17.0,27.0,60,29,30
271350025,83.0,15.0,61.0,54.0,12.0,40.0,55.0,15.0,39.0,55.0,11.0,41.0,90,27,61
271350176,26.0,7.0,17.0,24.0,13.0,11.0,24.0,12.0,11.0,24.0,8.0,16.0,23,8,13
271350028,66.0,14.0,46.0,46.0,11.0,35.0,46.0,12.0,34.0,46.0,11.0,35.0,68,22,45
271350030,57.0,4.0,43.0,53.0,15.0,36.0,54.0,20.0,33.0,53.0,19.0,33.0,57,25,30
271350035,76.0,21.0,49.0,73.0,22.0,49.0,78.0,37.0,40.0,75.0,25.0,48.0,60,33,25
271350040,89.0,18.0,68.0,73.0,15.0,54.0,76.0,26.0,49.0,76.0,19.0,56.0,74,29,40
271350045,218.0,45.0,155.0,142.0,42.0,97.0,149.0,65.0,84.0,150.0,44.0,105.0,222,96,121
271350050,148.0,39.0,104.0,106.0,36.0,67.0,110.0,48.0,61.0,107.0,31.0,72.0,141,63,73
271350055,92.0,28.0,58.0,78.0,26.0,48.0,78.0,33.0,43.0,77.0,27.0,47.0,78,36,39
271350070,136.0,39.0,93.0,133.0,46.0,82.0,135.0,54.0,77.0,135.0,45.0,86.0,120,55,57
271350060,383.0,116.0,245.0,367.0,124.0,222.0,381.0,179.0,189.0,378.0,141.0,224.0,369,171,189
271350065,87.0,17.0,66.0,72.0,17.0,55.0,73.0,22.0,51.0,73.0,17.0,56.0,95,30,62
